mode: set
github.com/conneroisu/gpt2/main.go:8.13,10.2 1 0
github.com/conneroisu/gpt2/pkg/encoder.go:23.70,25.16 2 0
github.com/conneroisu/gpt2/pkg/encoder.go:25.16,27.3 1 0
github.com/conneroisu/gpt2/pkg/encoder.go:28.2,30.16 3 0
github.com/conneroisu/gpt2/pkg/encoder.go:30.16,32.3 1 0
github.com/conneroisu/gpt2/pkg/encoder.go:33.2,36.16 4 0
github.com/conneroisu/gpt2/pkg/encoder.go:36.16,38.3 1 0
github.com/conneroisu/gpt2/pkg/encoder.go:39.2,39.41 1 0
github.com/conneroisu/gpt2/pkg/encoder.go:47.84,49.16 2 0
github.com/conneroisu/gpt2/pkg/encoder.go:49.16,51.3 1 0
github.com/conneroisu/gpt2/pkg/encoder.go:52.2,55.16 4 0
github.com/conneroisu/gpt2/pkg/encoder.go:55.16,57.3 1 0
github.com/conneroisu/gpt2/pkg/encoder.go:58.2,58.41 1 0
github.com/conneroisu/gpt2/pkg/encoder.go:61.58,63.2 1 0
github.com/conneroisu/gpt2/pkg/encoder.go:65.46,67.2 1 0
github.com/conneroisu/gpt2/pkg/encoder.go:69.48,71.2 1 0
github.com/conneroisu/gpt2/pkg/encoder.go:73.84,75.16 2 0
github.com/conneroisu/gpt2/pkg/encoder.go:75.16,77.3 1 0
github.com/conneroisu/gpt2/pkg/encoder.go:78.2,81.16 4 0
github.com/conneroisu/gpt2/pkg/encoder.go:81.16,83.3 1 0
github.com/conneroisu/gpt2/pkg/encoder.go:84.2,85.16 2 0
github.com/conneroisu/gpt2/pkg/encoder.go:85.16,87.3 1 0
github.com/conneroisu/gpt2/pkg/encoder.go:88.2,91.16 3 0
github.com/conneroisu/gpt2/pkg/encoder.go:91.16,93.3 1 0
github.com/conneroisu/gpt2/pkg/encoder.go:95.2,96.68 2 0
github.com/conneroisu/gpt2/pkg/encoder.go:96.68,98.3 1 0
github.com/conneroisu/gpt2/pkg/encoder.go:100.2,103.8 1 0
github.com/conneroisu/gpt2/cmd/root.go:37.57,49.3 11 0
github.com/conneroisu/gpt2/cmd/root.go:50.48,51.3 0 0
github.com/conneroisu/gpt2/cmd/root.go:56.16,58.16 2 0
github.com/conneroisu/gpt2/cmd/root.go:58.16,60.3 1 0
github.com/conneroisu/gpt2/cmd/root.go:63.13,73.2 1 0
github.com/conneroisu/gpt2/pkg/model/attention.go:19.71,24.28 5 1
github.com/conneroisu/gpt2/pkg/model/attention.go:24.28,25.27 1 1
github.com/conneroisu/gpt2/pkg/model/attention.go:25.27,27.4 1 1
